Gene ID	Gene Name	g2_g1.p-value	g2_g1.log2foldchange
AFUA_1G05040		0.0972352044871219	1.4
AFUA_1G05050		0.483518189986478	0.7
AFUA_1G05060		0.353307018532101	0.7
AFUA_1G05070		NA	0.8
AFUA_1G05080		0.133768161948136	1
AFUA_1G05100		0.950249641173877	0.1
AFUA_1G05110		0.965494881179345	0
AFUA_1G05115	AFUA_1G05115	NA	0
AFUA_1G05120		NA	0.2
AFUA_1G05130		0.837245066074423	-0.2
AFUA_1G05140		NA	0.3
AFUA_1G05150		0.034301284609418	1.7
AFUA_1G05160		0.0523650316692032	1.2
AFUA_1G05170		NA	0.1
AFUA_1G05180		NA	1
AFUA_1G05190		0.227765090948288	1.1
AFUA_1G05200		0.181564967914607	1
AFUA_1G05210		0.866818525050818	-0.2
AFUA_1G05220		0.956043179841406	-0.1
AFUA_1G05230		0.664279593145246	0.4
AFUA_1G05240		0.31272087472898	0.9
AFUA_1G05260		0.55175786322337	-0.4
AFUA_1G05270		NA	-0.7
AFUA_1G05280		0.915514236010533	-0.1
AFUA_1G05290		NA	-1.1
AFUA_1G05300		NA	0.4
AFUA_1G05310		0.0391765938203073	1.8
AFUA_1G05320		NA	0.1
AFUA_1G05330		NA	0.1
AFUA_1G05340		0.219669888504746	0.9
AFUA_1G05350		NA	-0.9
AFUA_1G05360		0.729292754788951	0.3
AFUA_1G05370		0.0884356909358786	1.2
AFUA_1G05380		0.455952950519174	0.5
AFUA_1G05390		0.0059209802337791	2
AFUA_1G05400		0.0264337995183908	1.8
AFUA_1G05410		0.0437306006589023	1.8
AFUA_1G05420		0.309396201243082	-0.9
AFUA_1G05430		NA	1
AFUA_1G05440		NA	0.9
AFUA_1G05450		0.620983235633776	-0.4
AFUA_1G05460		0.798332427157797	-0.2
AFUA_1G05470		0.887662955417975	-0.2
AFUA_1G05490		0.501850350702614	0.5
AFUA_1G05500		0.113400700670779	1.2
AFUA_1G05510		0.280719178915607	0.8
AFUA_1G05520		NA	-0.8
AFUA_1G05530		0.841330587304962	-0.2
AFUA_1G05540		0.114997977033963	-1.2
AFUA_1G05550		NA	-0.5
AFUA_1G05560		0.066642152651268	1.3
AFUA_1G05570		NA	0.5
AFUA_1G05580		NA	-0.8
AFUA_1G05590		0.0500977212421406	-1.7
AFUA_1G05595		0.992375777200396	0
AFUA_1G05600		NA	-0.4
AFUA_1G05603	AFUA_1G05603	NA	0.4
AFUA_1G05606	AFUA_1G05606	NA	-0.6
AFUA_1G05610		0.993452128987957	0
AFUA_1G05620		0.196135644192568	0.9
AFUA_1G05630		0.256868426337159	0.9
AFUA_1G05640		0.973985046377396	0
AFUA_1G05650		0.279439630118206	1
AFUA_1G05655		0.735795781266683	0.3
AFUA_1G05660		0.105596994660296	1.2
AFUA_1G05670		NA	0.6
AFUA_1G05680		NA	0.7
AFUA_1G05690		0.926254656475334	-0.1
AFUA_1G05700		0.281941216079558	1
AFUA_1G05710		NA	0.3
AFUA_1G05720		NA	-0.3
AFUA_1G05730		0.697733750562965	-0.3
AFUA_1G05735	AFUA_1G05735	NA	0.3
AFUA_1G05740		0.329407612649652	0.8
AFUA_1G05745		0.380521154066529	-0.8
AFUA_1G05750		NA	0.1
AFUA_1G05760		0.484293641390992	0.4
AFUA_1G05770		0.0563824535014499	-2.1
AFUA_1G05780		NA	0.3
AFUA_1G05790		NA	-1.7
AFUA_1G05800		0.945117970977802	0.1
AFUA_1G05810		0.960691565015962	0
AFUA_1G05820		0.530520058483513	0.5
AFUA_1G05830		0.151178386803855	0.9
AFUA_1G05840		NA	-0.3
AFUA_1G05850		0.51284242550547	-0.7
AFUA_1G05860		0.2373302606094	-1.2
AFUA_1G05870		0.57448487383894	0.5
AFUA_1G05880		NA	0.5
AFUA_1G05890		NA	0.2
AFUA_1G05900		0.0927990442628898	1.1
AFUA_1G05910		0.0445605897026487	-1.6
AFUA_1G05920		NA	-0.1
AFUA_1G05930		0.471609238518553	0.7
AFUA_1G05940		NA	0
AFUA_1G05950		NA	-0.1
AFUA_1G05960		0.921371135506627	-0.1
AFUA_1G05970		0.477926215807204	0.6
AFUA_1G05980		0.716689987587021	0.3
AFUA_1G05990		0.189026037720004	1
AFUA_1G06000		NA	0.3
AFUA_1G06020		NA	0.3
AFUA_1G06030		0.651908817827507	0.4
AFUA_1G06040		0.729292754788951	0.3
AFUA_1G06050		0.306291717145417	-0.8
AFUA_1G06060		0.743448209609092	-0.3
AFUA_1G06071		0.971437670792887	0
AFUA_1G06080		0.583981800433313	0.5
AFUA_1G06090		NA	0.5
AFUA_1G06100		0.0963544788505897	1.2
AFUA_1G06110		0.174615683723656	0.8
AFUA_1G06120		NA	-0.8
AFUA_1G06130		NA	-0.4
AFUA_1G06140		NA	-0.6
AFUA_1G06150		NA	-0.4
AFUA_1G06160		NA	-0.8
AFUA_1G06170		0.897709079232958	0.1
AFUA_1G06180		0.429187179269359	0.6
AFUA_1G06190		0.0439779895101921	1.9
AFUA_1G06200		NA	0.5
AFUA_1G06210		0.781132557165259	0.3
AFUA_1G06220		0.0632331395264919	1.8
AFUA_1G06230		0.0765287811228934	1.6
AFUA_1G06240		0.916905915396858	0.1
AFUA_1G06250		NA	-0.1
AFUA_1G06260		NA	0.8
AFUA_1G06270		NA	0.6
AFUA_1G06280		0.0499416994773654	1.3
AFUA_1G06290		0.0423908601677669	1.3
AFUA_1G06300		0.81104811427617	-0.2
AFUA_1G06310		0.111970512710934	1.1
AFUA_1G06320		0.595939819378194	0.4
AFUA_1G06330		0.430361141492375	-0.6
AFUA_1G06340		0.194436003525501	1
AFUA_1G06350		0.909639023521041	0.1
AFUA_1G06360		NA	-0.1
AFUA_1G06370		NA	1.1
AFUA_1G06380		0.0712359922761216	1.5
AFUA_1G06390		0.0115778035701016	1.9
AFUA_1G06400		0.915514236010533	0.1
AFUA_1G06410		0.0434664469621252	1.6
AFUA_1G06420		0.951427300454808	0.1
AFUA_1G06430		NA	0.1
AFUA_1G06440		NA	-0.4
AFUA_1G06450		NA	0.3
AFUA_1G06460		0.162164760692724	1.2
AFUA_1G06470		0.680711007783825	-0.3
AFUA_1G06480		0.67856793188724	-0.4
AFUA_1G06490		0.261475384329302	-0.7
AFUA_1G06500		0.237456317737012	0.9
AFUA_1G06510		0.9622179943433	0
AFUA_1G06520		0.219662391407838	0.9
AFUA_1G06530		0.175699740548018	1.1
AFUA_1G06540		0.417269936331195	-0.6
AFUA_1G06550		NA	-0.5
AFUA_1G06560		NA	0.2
AFUA_1G06570		0.0698256526808674	1.5
